Borough,Bedrooms,Bathrooms,FloorArea,PropertyAge,Price
Tower Hamlets,1,1,42.0,Post-2000,823768
Islington,2,1,48.0,Pre-1900,941054
Hammersmith and Fulham,2,1,52.5,1950-1980,908509
Westminster,2,1,47.5,1900-1950,1104206
Brent,2,1,36.0,Post-2000,733612
Haringey,3,2,80.7,Post-2000,876543
Hammersmith and Fulham,2,1,51.6,1900-1950,1010543
Tower Hamlets,4,2,93.1,1980-2000,990482
Waltham Forest,3,2,93.7,1950-1980,935175
Westminster,1,1,35.2,1900-1950,972970
Lewisham,2,1,66.4,1900-1950,716096
Lambeth,3,1,72.5,Post-2000,926423
Lewisham,2,1,26.2,1950-1980,614069
Brent,2,1,63.0,Pre-1900,808788
Camden,3,2,74.0,1900-1950,1085962
Greenwich,2,1,42.6,1900-1950,639990
Croydon,2,2,37.1,1950-1980,574448
Kensington and Chelsea,2,2,51.9,1900-1950,1216109
Camden,1,1,51.7,1950-1980,923718
Barking and Dagenham,2,1,48.4,1900-1950,625436
Croydon,1,1,25.0,1900-1950,523380
Brent,2,1,65.8,Pre-1900,883681
Brent,2,1,58.6,Post-2000,803316
Croydon,5,3,108.2,1900-1950,988048
Ealing,2,2,65.9,1980-2000,804096
Newham,3,1,115.9,1900-1950,1008590
Southwark,1,1,25.0,1950-1980,638974
Waltham Forest,1,1,25.0,1900-1950,621556
Kensington and Chelsea,3,1,41.3,1980-2000,1193857
Lambeth,3,2,82.9,Post-2000,963906
Brent,1,1,42.9,1900-1950,737676
Wandsworth,2,1,57.6,1900-1950,902772
Kensington and Chelsea,2,1,76.9,1980-2000,1290202
Westminster,3,2,96.5,1900-1950,1355256
Barking and Dagenham,1,1,53.5,1980-2000,617282
Bromley,2,1,73.4,Pre-1900,823883
Newham,3,2,78.0,1980-2000,742631
Haringey,5,3,141.0,1950-1980,1155402
Tower Hamlets,3,2,71.0,Pre-1900,915928
Southwark,2,1,52.5,1980-2000,817778
Kensington and Chelsea,3,2,84.9,1950-1980,1359111
Southwark,3,2,82.7,1900-1950,906960
Wandsworth,3,2,104.1,1950-1980,1002902
Islington,3,2,79.0,1950-1980,952060
Westminster,4,3,98.0,Pre-1900,1290513
Brent,1,1,25.0,Post-2000,636387
Lewisham,1,1,37.8,1980-2000,642057
Waltham Forest,3,2,63.0,Pre-1900,860191
Barking and Dagenham,2,1,53.0,Post-2000,613503
Westminster,1,1,47.9,1900-1950,1014922
Brent,2,2,60.4,1950-1980,675668
Camden,3,2,82.9,1900-1950,1124657
Croydon,1,1,27.5,1980-2000,501829
Ealing,3,2,68.6,1980-2000,921469
Brent,1,1,25.0,1950-1980,604392
Bromley,1,1,25.1,1900-1950,620595
Brent,2,1,60.1,1900-1950,759297
Croydon,1,1,42.2,1950-1980,502991
Southwark,3,2,85.4,Pre-1900,916144
Waltham Forest,4,3,132.3,1900-1950,1072535
Islington,3,2,108.1,1980-2000,1105316
Waltham Forest,1,1,39.9,Post-2000,662784
Tower Hamlets,2,2,74.4,1900-1950,880995
Camden,1,1,25.0,1900-1950,864070
Greenwich,2,1,38.8,Post-2000,682321
Kensington and Chelsea,2,1,63.8,Post-2000,1415599
Greenwich,3,2,63.9,1950-1980,686217
Southwark,1,1,25.0,Pre-1900,691826
Lewisham,2,1,67.6,1980-2000,757744
Croydon,4,2,133.2,1980-2000,984174
Croydon,2,1,52.2,Pre-1900,644747
Lambeth,4,2,102.3,1950-1980,982099
Westminster,5,3,144.8,1950-1980,1451803
Greenwich,2,1,39.9,1950-1980,621463
Islington,2,1,53.4,1980-2000,854954
Lambeth,3,2,83.9,1950-1980,818355
Barking and Dagenham,1,1,27.6,1980-2000,479990
Hammersmith and Fulham,2,1,57.3,1950-1980,938562
Islington,3,2,71.5,1900-1950,1016806
Camden,2,1,45.1,1980-2000,923487
Camden,1,1,25.0,1980-2000,801599
Lewisham,3,2,59.7,Post-2000,811448
Kensington and Chelsea,3,2,89.1,1950-1980,1285304
Bromley,1,1,41.4,Pre-1900,755427
Islington,2,2,67.9,Post-2000,990816
Camden,1,1,25.0,1980-2000,807660
Newham,2,1,43.8,Post-2000,656470
Westminster,3,2,95.2,Pre-1900,1269453
Barking and Dagenham,3,2,93.6,1900-1950,804329
Lewisham,3,2,87.3,Pre-1900,889325
Kensington and Chelsea,1,1,54.2,Post-2000,1251197
Ealing,1,1,27.6,Post-2000,681273
Lambeth,1,1,25.0,1950-1980,578207
Islington,2,1,50.0,1900-1950,930578
Islington,1,1,25.0,Pre-1900,887207
Waltham Forest,2,2,65.9,1950-1980,721726
Camden,1,1,26.4,1950-1980,808220
Lewisham,3,2,91.6,1980-2000,887569
Haringey,3,2,111.6,1900-1950,1068343
Kensington and Chelsea,2,1,50.1,1950-1980,1175857
Hammersmith and Fulham,1,1,25.0,Pre-1900,886716
Greenwich,4,2,119.2,1980-2000,1005663
Brent,5,3,142.5,1950-1980,1121882
Hammersmith and Fulham,1,1,25.0,Post-2000,883901
Lewisham,3,1,90.0,1980-2000,875982
Camden,3,2,95.8,1950-1980,1053886
Waltham Forest,2,2,41.8,1900-1950,686948
Greenwich,2,1,51.5,Post-2000,789454
Brent,2,2,78.2,Pre-1900,861970
Greenwich,2,2,45.2,1900-1950,727321
Haringey,2,1,57.0,Post-2000,911285
Croydon,4,2,72.6,1980-2000,787137
Newham,3,2,61.8,1950-1980,728496
Lambeth,1,1,30.4,1900-1950,654495
Newham,2,1,74.4,Post-2000,759965
Southwark,3,2,63.6,1900-1950,845574
Wandsworth,1,1,29.1,1900-1950,768040
Southwark,2,1,50.4,1900-1950,810819
Camden,4,2,126.3,1900-1950,1376901
Tower Hamlets,2,1,37.7,Post-2000,812947
Lewisham,1,1,34.5,1980-2000,586330
Lambeth,1,1,25.0,1980-2000,666113
Brent,2,1,59.3,Post-2000,804506
Islington,2,1,57.0,1900-1950,987793
Wandsworth,2,1,52.2,Pre-1900,842328
Camden,3,1,91.2,1950-1980,1046988
Camden,1,1,28.7,1950-1980,768461
Barking and Dagenham,1,1,26.0,1950-1980,438241
Barking and Dagenham,2,1,50.7,Pre-1900,591678
Hackney,1,1,29.2,1950-1980,646169
Hammersmith and Fulham,4,2,115.3,1900-1950,1319524
Lewisham,1,1,25.0,1900-1950,668141
Islington,3,2,78.8,1900-1950,996945
Kensington and Chelsea,2,1,40.2,1900-1950,1239643
Croydon,2,1,55.4,1950-1980,624799
Westminster,3,1,75.1,1900-1950,1226417
Bromley,2,1,67.6,Post-2000,779300
Barking and Dagenham,3,2,94.1,Post-2000,851279
Hammersmith and Fulham,2,1,42.2,1950-1980,821343
Wandsworth,2,1,56.0,Post-2000,916436
Newham,3,2,93.6,Post-2000,904812
Westminster,3,2,81.4,1950-1980,1176436
Waltham Forest,3,2,73.1,1950-1980,787372
Barking and Dagenham,3,2,67.6,Post-2000,759629
Islington,4,2,124.8,1980-2000,1242492
Newham,2,1,69.5,1900-1950,737594
Camden,2,2,52.9,1980-2000,981956
Kensington and Chelsea,1,1,39.5,1900-1950,1147898
Barking and Dagenham,2,1,25.0,1900-1950,549451
Barking and Dagenham,2,1,75.9,1900-1950,701461
Newham,3,2,81.6,1900-1950,832028
Islington,2,1,58.1,Pre-1900,978932
Barking and Dagenham,3,3,79.2,Post-2000,762256
Westminster,1,1,48.9,1900-1950,1001521
Barking and Dagenham,2,1,40.1,Pre-1900,599354
Newham,4,2,134.1,Pre-1900,1097984
Croydon,1,1,33.9,1950-1980,545770
Lewisham,1,1,37.3,Post-2000,684415
Lewisham,2,1,51.1,Pre-1900,730029
Bromley,3,2,64.4,Pre-1900,874383
Bromley,2,1,70.0,1950-1980,772914
Ealing,2,1,60.7,1950-1980,748692
Bromley,3,2,104.4,1900-1950,1019397
Lewisham,2,1,53.1,1900-1950,708405
Brent,3,2,77.7,1950-1980,878069
Westminster,1,1,48.8,1900-1950,1094712
Kensington and Chelsea,2,1,84.7,Post-2000,1434047
Greenwich,3,2,84.1,Pre-1900,822021
Hammersmith and Fulham,3,2,72.7,1900-1950,1102166
Greenwich,3,1,96.2,Post-2000,928472
Tower Hamlets,3,2,80.2,Post-2000,937823
Lambeth,2,1,65.0,Pre-1900,838671
Brent,1,1,25.0,Post-2000,692268
Waltham Forest,1,1,51.5,1980-2000,676768
Westminster,4,3,101.5,1900-1950,1333021
Lewisham,4,3,119.2,1950-1980,984585
Ealing,5,3,132.7,1900-1950,1211197
Tower Hamlets,1,1,25.0,1900-1950,647815
Lambeth,2,1,49.8,1900-1950,720290
Kensington and Chelsea,3,2,95.1,1950-1980,1277339
Kensington and Chelsea,3,2,97.8,Post-2000,1506723
Hammersmith and Fulham,3,2,92.4,1950-1980,1081854
Westminster,3,2,82.4,1900-1950,1264679
Islington,2,1,58.1,1950-1980,837610
Greenwich,1,1,41.5,1980-2000,608573
Newham,1,1,41.9,1980-2000,548566
Barking and Dagenham,1,1,25.0,1900-1950,510684
Islington,2,1,51.9,1950-1980,895162
Greenwich,1,1,25.0,1950-1980,563545
Lewisham,2,1,66.0,1980-2000,717698
Haringey,3,2,83.0,1900-1950,911563
Waltham Forest,4,2,122.8,1900-1950,1073529
Greenwich,3,2,67.8,1950-1980,702360
Brent,2,1,59.9,Post-2000,809007
Brent,1,1,41.5,1950-1980,706437
Camden,1,1,25.0,Post-2000,885301
Southwark,5,2,177.7,Pre-1900,1304424
Westminster,2,1,73.9,1950-1980,1083225
Kensington and Chelsea,1,1,28.0,1950-1980,1010343
Islington,3,2,71.6,1980-2000,1091120
Lewisham,2,1,53.4,Post-2000,829435
Hackney,4,3,113.3,Post-2000,1181637
Bromley,2,1,62.6,1980-2000,765411
Newham,2,1,78.5,1980-2000,812809
Hackney,2,1,48.9,Post-2000,811666
Hammersmith and Fulham,4,2,120.4,1950-1980,1288605
Hackney,4,3,92.6,Post-2000,1117266
Bromley,2,2,49.8,Post-2000,777232
Greenwich,1,1,33.7,1950-1980,625845
Kensington and Chelsea,2,1,66.4,1980-2000,1234402
Waltham Forest,5,3,128.7,1950-1980,1030851
Brent,3,2,77.4,1900-1950,919677
Westminster,3,2,105.9,1950-1980,1251269
Croydon,2,1,73.4,1900-1950,763071
Barking and Dagenham,2,1,59.1,1950-1980,691779
Hackney,2,2,25.0,Post-2000,744609
Ealing,3,2,121.7,Pre-1900,1060599
Westminster,4,2,111.7,Pre-1900,1454738
Hammersmith and Fulham,2,1,51.3,1980-2000,996339
Kensington and Chelsea,2,1,48.2,1900-1950,1189084
Bromley,2,1,61.6,1950-1980,713058
Ealing,1,1,33.8,1950-1980,616672
Islington,4,3,126.3,Pre-1900,1234871
Tower Hamlets,2,2,42.1,Pre-1900,772875
Islington,3,2,79.3,Post-2000,1100731
Ealing,3,2,114.5,1900-1950,1042073
Westminster,3,2,87.4,1950-1980,1156158
Greenwich,4,2,109.4,Post-2000,1015109
Waltham Forest,3,2,69.9,Post-2000,795337
Croydon,4,2,119.6,Pre-1900,984361
Hackney,1,1,43.5,1950-1980,766146
Lambeth,3,2,97.1,1980-2000,897926
Hammersmith and Fulham,3,2,80.1,1980-2000,1124750
Barking and Dagenham,2,1,61.4,1980-2000,620525
Croydon,3,1,109.1,1950-1980,898862
Newham,3,2,100.1,1900-1950,894167
Lambeth,3,2,72.2,1950-1980,858519
Lewisham,2,1,25.0,1980-2000,620092
Westminster,3,2,88.5,1980-2000,1287713
Hammersmith and Fulham,2,2,68.0,Pre-1900,1077821
Ealing,3,2,67.7,Pre-1900,849098
Westminster,2,2,55.9,Post-2000,1171487
Brent,2,2,52.0,1900-1950,742100
Greenwich,2,2,57.6,1900-1950,741471
Croydon,1,1,25.0,1980-2000,505709
Kensington and Chelsea,1,1,47.4,1950-1980,1076179
Islington,1,1,30.2,1900-1950,818239
Tower Hamlets,3,1,70.8,1950-1980,849083
Hackney,3,2,97.8,1950-1980,1021724
Bromley,1,1,25.0,1950-1980,571401
Croydon,1,1,47.3,Post-2000,561201
Southwark,2,1,70.9,1900-1950,859675
Waltham Forest,3,2,104.8,1980-2000,886905
Brent,1,1,25.6,Pre-1900,655818
Southwark,2,1,48.6,1950-1980,685998
Lambeth,1,1,29.3,1980-2000,607876
Islington,2,1,54.7,1900-1950,916573
Bromley,1,1,25.0,1950-1980,649758
Haringey,2,1,47.7,1900-1950,739919
Lewisham,3,2,78.5,Pre-1900,863261
Tower Hamlets,3,2,66.4,1950-1980,854773
Lewisham,1,1,38.2,1980-2000,687955
Westminster,3,2,83.2,Pre-1900,1288366
Bromley,2,1,51.4,Post-2000,832566
Waltham Forest,4,2,95.3,1900-1950,1002678
Lambeth,2,1,38.6,Pre-1900,692215
Ealing,3,2,113.0,1900-1950,1040323
Ealing,3,2,74.6,1900-1950,925315
Waltham Forest,1,1,37.2,Pre-1900,630792
Tower Hamlets,4,2,114.4,1980-2000,1037347
Hammersmith and Fulham,2,1,25.0,1950-1980,809372
Lewisham,3,1,110.9,1950-1980,961008
Ealing,1,1,38.3,Post-2000,727143
Lambeth,2,1,44.5,1950-1980,697363
Greenwich,2,1,55.6,1900-1950,676743
Kensington and Chelsea,2,1,38.8,1900-1950,1181472
Ealing,2,1,83.4,1900-1950,864473
Hackney,2,1,42.4,1950-1980,760081
Southwark,3,1,76.2,1900-1950,882019
Hammersmith and Fulham,2,1,45.1,1950-1980,918814
Wandsworth,1,1,29.2,1980-2000,699661
Haringey,3,2,104.6,1980-2000,950969
Haringey,2,1,82.8,1980-2000,836850
Tower Hamlets,2,1,50.0,1900-1950,733571
Islington,1,1,33.7,Pre-1900,827102
Ealing,1,1,29.2,1950-1980,626639
Lambeth,1,1,25.0,1900-1950,658592
Haringey,4,2,148.3,Pre-1900,1227986
Barking and Dagenham,2,1,76.4,1950-1980,649203
Waltham Forest,1,1,30.8,1900-1950,679664
Brent,1,1,51.7,1980-2000,688359
Kensington and Chelsea,1,1,46.2,1900-1950,1193141
Greenwich,2,2,57.2,Post-2000,758731
Bromley,1,1,32.9,1980-2000,655137
Hammersmith and Fulham,2,1,78.7,Pre-1900,1092813
Bromley,2,1,41.8,1950-1980,697572
Haringey,3,2,109.1,1950-1980,990073
Hammersmith and Fulham,2,1,52.6,1980-2000,1006735
Tower Hamlets,2,1,78.9,1950-1980,807298
Croydon,3,2,83.9,1950-1980,707929
Hackney,2,2,61.1,1950-1980,776790
Camden,3,2,83.5,1900-1950,1160955
Kensington and Chelsea,3,1,76.0,Post-2000,1409895
Southwark,2,1,51.9,1900-1950,811704
Lambeth,2,2,76.7,Pre-1900,831757
Newham,5,3,105.3,1900-1950,978728
Southwark,3,2,65.4,Post-2000,887041
Bromley,4,2,101.1,1950-1980,924381
Southwark,1,1,25.0,1980-2000,646400
Wandsworth,2,1,78.6,Post-2000,1001077
Camden,4,2,130.9,Post-2000,1390101
Southwark,2,1,64.9,1950-1980,833243
Kensington and Chelsea,5,3,130.4,1900-1950,1546491
Newham,1,1,48.0,Pre-1900,643823
Ealing,4,3,88.2,1950-1980,925251
Islington,2,1,88.1,1950-1980,934666
Lambeth,1,1,25.0,1950-1980,607639
Kensington and Chelsea,4,2,108.1,1950-1980,1410726
Greenwich,2,1,49.6,1980-2000,713920
Ealing,1,1,25.0,Pre-1900,661249
Westminster,1,1,56.9,Pre-1900,1073095
Lambeth,3,2,95.8,1980-2000,987447
Bromley,5,3,158.2,1900-1950,1144662
Lambeth,1,1,25.0,1980-2000,629929
Haringey,2,1,58.7,1950-1980,708469
Lambeth,1,1,35.8,Post-2000,684866
Newham,3,2,88.1,Post-2000,896207
Bromley,1,1,25.0,1950-1980,537032
Bromley,1,1,44.1,1980-2000,622515
Ealing,1,1,29.8,Pre-1900,770159
Wandsworth,2,1,41.7,1950-1980,712492
Hammersmith and Fulham,4,3,84.2,1980-2000,1220620
Lambeth,2,1,65.1,1980-2000,800961
Bromley,1,1,64.8,1950-1980,706155
Brent,2,1,40.8,1900-1950,740070
Wandsworth,3,1,86.6,Post-2000,1099412
Kensington and Chelsea,1,1,44.7,1900-1950,1123958
Haringey,1,1,25.0,Post-2000,685090
Bromley,1,1,25.0,1980-2000,646374
Haringey,3,2,71.1,1950-1980,868861
Islington,2,1,70.8,Pre-1900,1044272
Kensington and Chelsea,2,1,75.9,1900-1950,1334694
Lambeth,1,1,30.4,Post-2000,774678
Waltham Forest,2,1,43.4,Post-2000,756952
Bromley,5,3,133.4,1950-1980,1116125
Waltham Forest,1,1,25.0,1950-1980,591368
Brent,4,2,97.3,1980-2000,964993
Newham,2,2,54.5,1950-1980,693566
Newham,1,1,36.6,1980-2000,592660
Haringey,2,1,63.4,1900-1950,869165
Brent,4,2,111.9,Post-2000,1108347
Wandsworth,2,2,56.9,1980-2000,866133
Croydon,4,2,110.8,1900-1950,959787
Camden,2,1,36.5,Post-2000,927483
Southwark,2,1,58.4,1950-1980,765392
Greenwich,3,2,75.2,1900-1950,865594
Waltham Forest,4,2,91.8,Pre-1900,1022209
Haringey,2,1,61.6,1980-2000,737844
Kensington and Chelsea,3,1,74.8,Post-2000,1389169
Waltham Forest,1,1,31.4,Post-2000,673901
Brent,2,2,68.7,1980-2000,765330
Wandsworth,2,1,41.7,Pre-1900,792211
Newham,1,1,29.4,Pre-1900,597833
Wandsworth,2,1,28.8,1900-1950,831607
Hammersmith and Fulham,2,1,79.0,Post-2000,1057185
Lewisham,5,3,119.6,Post-2000,1092829
Islington,3,2,76.3,1900-1950,1060003
Camden,2,1,76.1,1980-2000,1067473
Kensington and Chelsea,5,3,136.5,1950-1980,1567952
Tower Hamlets,1,1,25.0,Pre-1900,738956
Camden,2,1,66.7,1950-1980,969592
Hackney,3,2,94.4,Post-2000,1103732
Kensington and Chelsea,1,1,25.0,1900-1950,1075145
Hackney,3,2,76.1,Post-2000,989760
Tower Hamlets,1,1,25.0,1900-1950,609591
Kensington and Chelsea,1,1,25.0,Pre-1900,1156034
Barking and Dagenham,1,1,25.0,1900-1950,488482
Newham,4,3,109.3,Post-2000,998788
Westminster,3,2,110.8,1950-1980,1259120
Newham,3,2,70.6,1980-2000,795418
Bromley,2,1,47.2,1950-1980,716763
Waltham Forest,2,1,38.2,1950-1980,620074
Kensington and Chelsea,3,2,93.2,Post-2000,1438667
Ealing,2,1,74.0,1950-1980,812557
Lambeth,1,1,45.7,Post-2000,782349
Westminster,3,2,65.3,Pre-1900,1268995
Southwark,1,1,35.5,1980-2000,711358
Tower Hamlets,1,1,49.5,1980-2000,768573
Haringey,3,2,91.6,Post-2000,944243
Croydon,3,2,91.2,1900-1950,916634
Brent,3,1,76.9,1980-2000,888466
Hackney,2,2,59.3,1950-1980,807571
Tower Hamlets,2,1,74.5,1950-1980,818318
Tower Hamlets,3,2,88.9,Pre-1900,917942
Lambeth,3,2,65.3,Pre-1900,836114
Bromley,2,2,49.2,Post-2000,857475
Ealing,5,3,158.1,1980-2000,1198926
Bromley,5,3,144.9,1950-1980,1107218
Croydon,2,1,57.8,Post-2000,684161
Wandsworth,3,2,75.7,Pre-1900,930986
Lambeth,2,1,73.8,1980-2000,839013
Hammersmith and Fulham,2,1,80.9,Post-2000,1188833
Wandsworth,1,1,46.9,Post-2000,812897
Greenwich,2,1,77.6,1950-1980,714303
Hammersmith and Fulham,4,3,106.6,1980-2000,1244842
Southwark,3,2,76.5,1950-1980,883510
Ealing,3,2,81.7,Post-2000,991900
Lewisham,1,1,28.6,1950-1980,553844
Wandsworth,2,1,77.5,1980-2000,910722
Croydon,1,1,45.5,Pre-1900,608227
Westminster,2,1,64.1,1950-1980,1076829
Haringey,2,1,34.5,1950-1980,678660
Kensington and Chelsea,2,1,30.7,1980-2000,1105193
Kensington and Chelsea,2,1,59.6,1980-2000,1154609
Barking and Dagenham,2,1,69.2,Post-2000,685598
Tower Hamlets,2,1,54.8,1980-2000,810431
Brent,1,1,56.7,1900-1950,772242
Lewisham,4,3,95.8,Post-2000,962327
Camden,1,1,25.0,Pre-1900,909479
Brent,1,1,25.0,1980-2000,611351
Haringey,3,2,73.5,Post-2000,891615
Camden,5,3,147.9,Pre-1900,1361534
Croydon,3,2,77.7,Post-2000,865590
Barking and Dagenham,1,1,25.0,1980-2000,467579
Haringey,1,1,41.4,1950-1980,634745
Waltham Forest,5,3,113.6,1900-1950,976631
Haringey,3,2,67.9,1950-1980,830432
Bromley,2,2,31.7,Post-2000,735997
Haringey,1,1,31.1,1900-1950,661866
Camden,1,1,30.8,1950-1980,765637
Hammersmith and Fulham,1,1,56.7,Pre-1900,967638
Islington,3,2,97.7,1900-1950,1166203
Newham,1,1,49.6,1980-2000,572967
Croydon,5,3,144.3,1900-1950,1066483
Hammersmith and Fulham,1,1,25.0,Post-2000,962930
Westminster,3,2,85.9,1950-1980,1204492
Hammersmith and Fulham,1,1,36.9,1950-1980,855267
Westminster,2,1,66.6,Pre-1900,1138012
Croydon,1,1,25.0,Post-2000,563720
Ealing,3,2,91.3,1900-1950,928448
Bromley,2,1,42.0,1950-1980,648140
Camden,1,1,25.0,1950-1980,744297
Haringey,3,2,67.3,1950-1980,875285
Newham,2,1,56.4,1980-2000,684876
Waltham Forest,4,2,94.3,1980-2000,962744
Barking and Dagenham,4,3,105.6,1900-1950,886567
Camden,4,2,125.5,1950-1980,1262039
